word,meaning,wordnet,pos,example,note
บักเอ๊บ,ใหญ่โต,00225892-r,-,-,-
ตะลุก,หลุม/พื้นผิวขรุขระ,03148130-n,-,-,-
ตะก๋อง,กะชอน,04332243-n,-,-,-
เต้ง,ระเบียง,03687137-n,-,-,-
นัว,ข้น,-,-,-,-
น่ำโห่ง,น้ำท่วม,11454591-n,-,-,-
บุ่ง,สระน้ำ,03982060-n,-,-,-
ไป๋,ไป,00068368-r,-,-,-
ป๊ะ,พบ,02022804-v,-,-,-
ผ่าซิ่น,ผ้าถุง,04136333-n,-,-,-
ฝาละมี,ฝาหม้อ,04041243-n,-,-,-
ฟก,บวม,13501548-n,-,-,-
ไม้ปัด,ไม้กวาด,02906734-n,-,-,-
ไล,กลอนประตู,03644858-n,-,-,-
ล่อง,รู,02875233-n,-,-,-
หลีเหลอ,เงียบเหงา,00112090-r,-,-,-
หกคะนา,คันนา,-,-,-,-
หมวง,ข้อง,-,-,-,-
หยางหยืด,ยางยืด,04116098-n,-,-,-
โกรกกราก,เร็ว/รีบเร่ง,00983573-a,-,-,-
ก๊กไม้,ต้นไม้,13104059-n,-,-,-
กะต้า,ตะกร้า,02801938-n,-,-,-
เกือก,รองเท้า,04199027-n,-,-,-
ขนน,โอ่ง,03593526-n,-,-,-
ขะน่อง,น่อง,05574332-n,-,-,-
ขีดยา,ฉีดยา,00086320-v,-,-,-
ขวน,ขวาน,02764044-n,-,-,-
งูจิ๊ก,งูกัด,-,-,-,-
งัว,วัว,02403003-n,-,-,-
จิ,จะ,-,-,-,-
จักแหล่ว,ไม่รู้,01308894-a,-,-,-
จั๊กนี,ไม่รู้,01308894-a,-,-,-
จ่น,วุ่นวาย,02706605-v,-,-,-
จ่ง,เหลือ/เก็บไว้,02835654-a,-,-,-
จั๊กแหล่ว,ไม่รู้,01308894-a,-,-,-
ชะ,สะอาด,00417413-a,-,-,-
ดา,ด้วย,-,-,-,-
ดูทั้ว,ดูซิ,-,-,-,-
ตอด,ต่อย,01445407-v,-,-,-
กะฮวด,ขวด,02876657-n,-,-,-
ซีกหัวนอน,ทิศเหนือ,13831176-n,-,-,-
ซีกปะตี๋น,ทิศใต้,13833375-n,-,-,-
ซีกกะตก,ทิศตะวันตก,13836136-n,-,-,-
ซีกตะออก,ทิศตะวันออก,13832355-n,-,-,-
ละกอ,มะละกอ,07762114-n,-,-,-
ใบ๋สีพลู,ใบช้าพลู,-,-,-,-
แหน่,น้อยหน่า,07760859-n,-,-,-
กล้วยเปลือกบ๋าง,กล้วยน้ำว้า,07753592-n,-,-,-
